file	mutator	line	verdict	old	new
CreditKeys.sol	AOR	70	UNCAUGHT	uint256 mask = uint256(paidAt) % 15 + 1	uint256 mask = uint256(paidAt) % 15 % 1
CreditKeys.sol	AOR	70	UNCAUGHT	uint256 mask = uint256(paidAt) % 15 + 1	uint256 mask = uint256(paidAt) % 15 * 1
CreditKeys.sol	AOR	70	CAUGHT	uint256 mask = uint256(paidAt) % 15 + 1	uint256 mask = uint256(paidAt) % 15 - 1
CreditKeys.sol	AOR	70	UNCAUGHT	uint256 mask = uint256(paidAt) % 15 + 1	uint256 mask = uint256(paidAt) % 15 / 1
CreditKeys.sol	AOR	70	UNCAUGHT	uint256 mask = uint256(paidAt) % 15 + 1	uint256 mask = uint256(paidAt) * 15 + 1
CreditKeys.sol	AOR	70	UNCAUGHT	uint256 mask = uint256(paidAt) % 15 + 1	uint256 mask = uint256(paidAt) + 15 + 1
CreditKeys.sol	AOR	70	UNCAUGHT	uint256 mask = uint256(paidAt) % 15 + 1	uint256 mask = uint256(paidAt) - 15 + 1
CreditKeys.sol	AOR	70	UNCAUGHT	uint256 mask = uint256(paidAt) % 15 + 1	uint256 mask = uint256(paidAt) / 15 + 1
CreditKeys.sol	AOR	74	CAUGHT	return ((type(uint32).max - r.eights) << ID_BITS) | id	return ((type(uint32).max % r.eights) << ID_BITS) | id
CreditKeys.sol	AOR	74	UNCAUGHT	return ((type(uint32).max - r.eights) << ID_BITS) | id	return ((type(uint32).max * r.eights) << ID_BITS) | id
CreditKeys.sol	AOR	74	UNCAUGHT	return ((type(uint32).max - r.eights) << ID_BITS) | id	return ((type(uint32).max + r.eights) << ID_BITS) | id
CreditKeys.sol	AOR	74	CAUGHT	return ((type(uint32).max - r.eights) << ID_BITS) | id	return ((type(uint32).max / r.eights) << ID_BITS) | id
CreditKeys.sol	AOR	75	CAUGHT	return ((5 - printRank(r.register)) << ID_BITS) | id	return ((5 % printRank(r.register)) << ID_BITS) | id
CreditKeys.sol	AOR	75	UNCAUGHT	return ((5 - printRank(r.register)) << ID_BITS) | id	return ((5 * printRank(r.register)) << ID_BITS) | id
CreditKeys.sol	AOR	75	UNCAUGHT	return ((5 - printRank(r.register)) << ID_BITS) | id	return ((5 + printRank(r.register)) << ID_BITS) | id
CreditKeys.sol	AOR	75	CAUGHT	return ((5 - printRank(r.register)) << ID_BITS) | id	return ((5 / printRank(r.register)) << ID_BITS) | id
CreditKeys.sol	AOR	79	UNCAUGHT	return ((type(uint64).max - score) << ID_BITS) | id	return ((type(uint64).max % score) << ID_BITS) | id
CreditKeys.sol	AOR	79	UNCAUGHT	return ((type(uint64).max - score) << ID_BITS) | id	return ((type(uint64).max * score) << ID_BITS) | id
CreditKeys.sol	AOR	79	UNCAUGHT	return ((type(uint64).max - score) << ID_BITS) | id	return ((type(uint64).max + score) << ID_BITS) | id
CreditKeys.sol	AOR	79	UNCAUGHT	return ((type(uint64).max - score) << ID_BITS) | id	return ((type(uint64).max / score) << ID_BITS) | id
CreditKeys.sol	AOR	177	UNCAUGHT	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) % i	uint256 j = uint256(keccak256(abi.encodePacked(seed, i % 1))) % i
CreditKeys.sol	AOR	177	UNCAUGHT	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) % i	uint256 j = uint256(keccak256(abi.encodePacked(seed, i * 1))) % i
CreditKeys.sol	AOR	177	UNCAUGHT	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) % i	uint256 j = uint256(keccak256(abi.encodePacked(seed, i + 1))) % i
CreditKeys.sol	AOR	177	CAUGHT	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) % i	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) * i
CreditKeys.sol	AOR	177	CAUGHT	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) % i	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) + i
CreditKeys.sol	AOR	177	CAUGHT	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) % i	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) - i
CreditKeys.sol	AOR	177	CAUGHT	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) % i	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) / i
CreditKeys.sol	AOR	177	UNCAUGHT	uint256 j = uint256(keccak256(abi.encodePacked(seed, i - 1))) % i	uint256 j = uint256(keccak256(abi.encodePacked(seed, i / 1))) % i
CreditKeys.sol	ASOR	44	CAUGHT	seen[w] |= bit	seen[w] %= bit
CreditKeys.sol	ASOR	44	CAUGHT	seen[w] |= bit	seen[w] &= bit
CreditKeys.sol	ASOR	44	CAUGHT	seen[w] |= bit	seen[w] *= bit
CreditKeys.sol	ASOR	44	UNCAUGHT	seen[w] |= bit	seen[w] += bit
CreditKeys.sol	ASOR	44	CAUGHT	seen[w] |= bit	seen[w] -= bit
CreditKeys.sol	ASOR	44	CAUGHT	seen[w] |= bit	seen[w] /= bit
CreditKeys.sol	ASOR	44	CAUGHT	seen[w] |= bit	seen[w] <<= bit
CreditKeys.sol	ASOR	44	CAUGHT	seen[w] |= bit	seen[w] = bit
CreditKeys.sol	ASOR	44	CAUGHT	seen[w] |= bit	seen[w] >>= bit
CreditKeys.sol	ASOR	44	UNCAUGHT	seen[w] |= bit	seen[w] ^= bit
CreditKeys.sol	BOR	41	CAUGHT	uint256 w = pos >> 8	uint256 w = pos & 8
CreditKeys.sol	BOR	41	CAUGHT	uint256 w = pos >> 8	uint256 w = pos << 8
CreditKeys.sol	BOR	41	CAUGHT	uint256 w = pos >> 8	uint256 w = pos ^ 8
CreditKeys.sol	BOR	41	CAUGHT	uint256 w = pos >> 8	uint256 w = pos | 8
CreditKeys.sol	BOR	42	CAUGHT	uint256 bit = 1 << (pos & 255)	uint256 bit = 1 & (pos & 255)
CreditKeys.sol	BOR	42	CAUGHT	uint256 bit = 1 << (pos & 255)	uint256 bit = 1 << (pos << 255)
CreditKeys.sol	BOR	42	CAUGHT	uint256 bit = 1 << (pos & 255)	uint256 bit = 1 << (pos >> 255)
CreditKeys.sol	BOR	42	UNCAUGHT	uint256 bit = 1 << (pos & 255)	uint256 bit = 1 << (pos ^ 255)
CreditKeys.sol	BOR	42	CAUGHT	uint256 bit = 1 << (pos & 255)	uint256 bit = 1 << (pos | 255)
CreditKeys.sol	BOR	42	CAUGHT	uint256 bit = 1 << (pos & 255)	uint256 bit = 1 >> (pos & 255)
CreditKeys.sol	BOR	42	CAUGHT	uint256 bit = 1 << (pos & 255)	uint256 bit = 1 ^ (pos & 255)
CreditKeys.sol	BOR	42	CAUGHT	uint256 bit = 1 << (pos & 255)	uint256 bit = 1 | (pos & 255)
CreditKeys.sol	BOR	43	CAUGHT	seen[w] & bit != 0	seen[w] << bit != 0
CreditKeys.sol	BOR	43	CAUGHT	seen[w] & bit != 0	seen[w] >> bit != 0
CreditKeys.sol	BOR	43	CAUGHT	seen[w] & bit != 0	seen[w] ^ bit != 0
CreditKeys.sol	BOR	43	CAUGHT	seen[w] & bit != 0	seen[w] | bit != 0
CreditKeys.sol	BOR	44	CAUGHT	seen[w] |= bit	seen[w] &= bit
CreditKeys.sol	BOR	44	CAUGHT	seen[w] |= bit	seen[w] <<= bit
CreditKeys.sol	BOR	44	CAUGHT	seen[w] |= bit	seen[w] >>= bit
CreditKeys.sol	BOR	44	UNCAUGHT	seen[w] |= bit	seen[w] ^= bit
CreditKeys.sol	BOR	69	CAUGHT	return (uint256(paidAt) << ID_BITS) | id	return (uint256(paidAt) & ID_BITS) | id
CreditKeys.sol	BOR	69	CAUGHT	return (uint256(paidAt) << ID_BITS) | id	return (uint256(paidAt) << ID_BITS) & id
CreditKeys.sol	BOR	69	UNCAUGHT	return (uint256(paidAt) << ID_BITS) | id	return (uint256(paidAt) << ID_BITS) << id
CreditKeys.sol	BOR	69	CAUGHT	return (uint256(paidAt) << ID_BITS) | id	return (uint256(paidAt) << ID_BITS) >> id
